일자,언론사,제목,통합 분류1
2026-01-01,샘플신문,"[합성 예시 01] 지자체, 돌봄 서비스 확대 발표",사회>일반
2026-01-02,테스트뉴스,"[합성 예시 02] 지자체, 지방자치법 개정 점검",정치>일반
2026-01-03,가상일보,"[합성 예시 03] 대학, 금리 동향 추진",경제>일반
2026-01-04,가상일보,"[합성 예시 04] 시민단체, 선거구 조정 추진",정치>일반
2026-01-05,가상일보,"[합성 예시 05] 기업, 예산안 심의 발표",정치>일반
2026-01-06,가상일보,"[합성 예시 06] 지자체, 정상회담 준비 점검",국제>일반
2026-01-07,샘플신문,"[합성 예시 07] 국회, 반도체 투자 계획 점검",경제>일반
2026-01-08,테스트뉴스,"[합성 예시 08] 국회, 지방자치법 개정 발표",정치>일반
2026-01-09,가상일보,"[합성 예시 09] 시민단체, 반도체 투자 계획 착수",경제>일반
2026-01-10,테스트뉴스,"[합성 예시 10] 교육부, 예산안 심의 추진",정치>일반
2026-01-11,샘플신문,"[합성 예시 11] 기업, 기후 회의 추진",국제>일반
2026-01-12,가상일보,"[합성 예시 12] 국회, 폭염 대응 착수",사회>일반
2026-01-13,테스트뉴스,"[합성 예시 13] 시의회, 금리 동향 점검",경제>일반
2026-01-14,테스트뉴스,"[합성 예시 14] 연구기관, 기후 회의 확대 검토",국제>일반
2026-01-15,테스트뉴스,"[합성 예시 15] 대학, 예산안 심의 논의",정치>일반
2026-01-16,샘플신문,"[합성 예시 16] 대학, 돌봄 서비스 확대 발표",사회>일반
2026-01-17,샘플신문,"[합성 예시 17] 중앙은행, 지방자치법 개정 점검",정치>일반
2026-01-18,가상일보,"[합성 예시 18] 정부, 해외 순방 확대 검토",국제>일반
2026-01-19,가상일보,"[합성 예시 19] 시의회, 정상회담 준비 착수",국제>일반
2026-01-20,테스트뉴스,"[합성 예시 20] 대학, 기후 회의 착수",국제>일반
2026-01-21,샘플신문,"[합성 예시 21] 중앙은행, 청년 주거 지원 논의",사회>일반
2026-01-22,가상일보,"[합성 예시 22] 교육부, 청문회 일정 확대 검토",정치>일반
2026-01-23,샘플신문,"[합성 예시 23] 대학, 물가 지표 발표 추진",경제>일반
2026-01-24,샘플신문,"[합성 예시 24] 대학, 선거구 조정 점검",정치>일반
2026-01-25,샘플신문,"[합성 예시 25] 시민단체, 돌봄 서비스 확대 확대 검토",사회>일반
2026-01-26,테스트뉴스,"[합성 예시 26] 대학, 기후 회의 논의",국제>일반
2026-01-27,가상일보,"[합성 예시 27] 국회, 금리 동향 논의",경제>일반
2026-01-28,샘플신문,"[합성 예시 28] 기업, 금리 동향 논의",경제>일반
2026-01-01,가상일보,"[합성 예시 29] 국회, 폭염 대응 추진",사회>일반
2026-01-02,가상일보,"[합성 예시 30] 시민단체, 폭염 대응 점검",사회>일반
2026-01-03,테스트뉴스,"[합성 예시 31] 시민단체, 청문회 일정 추진",정치>일반
2026-01-04,샘플신문,"[합성 예시 32] 정부, 해외 순방 추진",국제>일반
2026-01-05,가상일보,"[합성 예시 33] 정부, 정상회담 준비 논의",국제>일반
2026-01-06,가상일보,"[합성 예시 34] 중앙은행, 무역 협상 점검",국제>일반
2026-01-07,가상일보,"[합성 예시 35] 기업, 예산안 심의 논의",정치>일반
2026-01-08,테스트뉴스,"[합성 예시 36] 지자체, 지방자치법 개정 발표",정치>일반
2026-01-09,가상일보,"[합성 예시 37] 시의회, 고용 통계 확대 검토",경제>일반
2026-01-10,가상일보,"[합성 예시 38] 정부, 교통 안전 대책 추진",사회>일반
2026-01-11,샘플신문,"[합성 예시 39] 시의회, 해외 순방 발표",국제>일반
2026-01-12,테스트뉴스,"[합성 예시 40] 중앙은행, 금리 동향 착수",경제>일반
